DirectionFrom,DirectionTo,Distance,ETARouteName,LastTrackdt,Odometer,PrevTrackDt,RouteNo,Speed,VehId,VehNo,location.coordinates,location.type,routeflag
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:57:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:58:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:59:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:00:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:01:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968819,19.267332]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:02:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968819,19.267332]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:03:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:07:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:08:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T01:09:11.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968781,19.26725]",Point,true
