LastTrackdt,location.coordinates,location.type
2022-09-25T00:41:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:41:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:41:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:41:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:42:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:43:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:44:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:45:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:46:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:47:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:48:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:49:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:50:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:51:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:51:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:51:20.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:51:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:51:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:52:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:53:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:30.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:54:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:10.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:55:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:56:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:57:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:58:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:40.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:59:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:00:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:01:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:02:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:03:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:04:50.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:05:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:06:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:07:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:41.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:08:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:42.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:09:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:01.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:42.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:10:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:02.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:42.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:11:52.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:12:02.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:12:11.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:12:21.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:12:31.000Z,"[72.969757,19.265484]",Point
2022-09-25T01:12:42.000Z,"[72.969757,19.265484]",Point
